,What operating system(s) do you use?,,,,,,,Which interface(s) do you use to access Cantera? ,,,,,Do you use the following sources to install and/or upgrade Cantera?,,,,,,,,,,,,,,,,,,,,,,,,,,,Please select the statement(s) that best describes your Cantera use:,,,,,Which of the following thermodynamic models in Cantera do you use?,,,,,,,,,,,,,,,,,,Which of the following features of Cantera’s reactor network model do you use?,,,,,,,,,,,,,Which of the following features of Cantera’s 1D reacting flow module do you use?,,,,,,,Please choose your top 3 desired development priorities.,,,,,,,,Are you aware of the following roles of the Steering Committee?,,,,,,,,How frequently do you use the following support features?,,,,,,,,,,,,,,,
#,macOS,BSD,Windows 7,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)","Red Hat or its derivatives (Fedora, CentOS, etc.)",Other,Python,MATLAB,C++,C,Fortran,I don’t update,Somebody else manages it for me,Anaconda,Build from source (via GitHub),"Windows binaries (.msi file), downloaded from GitHub","macOS installer (.pkg file), downloaded from GitHub",Ubuntu Personal Package Archive (PPA),Other,What version of Cantera do you use most often?,How often do you use the *Python* interface?,Which version of *Python* do you use the most?,How often do you use the *MATLAB* interface?,Which version of *MATLAB* do you use the most?,How often do you use the *C++* interface?,What is the latest version of the *C++* standard that your primary compiler supports?,What features that you use are available in the *C++* interface but not in one of the other interfaces?,How often do you use the *C/Fortran* interface?,Which external software are you coupling with Cantera via this interface?,Visual StudioGnu C/C++ Compilers (gcc/g++),Visual Studio,Intel C/C++,Gnu Fortran (gfortran),Intel Fortran,Clang / Clang++,MinGW / MinGW-w64,I'm not sure,Other,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Do you use phase models other than the ideal gas model?,Fixed-stoichiometry,liquid-water-IAPWS95,Fixed-chemical-potential,Margules,Ideal-molal-solution,Debye-Huckel,Ions-from-neutral-molecule,Ideal-gas-VPSS,Ideal-solution-VPSS,Maskell-solid-solution,HMW-electrolyte,Redlich-Kwong,Pure-fluid,Constant-density (formerly ‘Incompressible_solid’),Ideal-condensed,Electron-cloud (formerly ‘metal’),Binary-solution-tabulated,None of the above,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,Moving walls/Changing reactor volume,Surface chemistry,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,None of the above,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,Surface chemistry,Multiple flow domains,None of the above,Please choose the option that is your *highest* development priority.,Other,Please choose the option that is your *second highest* development priority.,Other,Please choose the option that is your *third highest* development priority.,Other,"You chose:

*Highest development priority:* {{field:09dac6d1-b6f4-4451-8758-62bbb136bb3a}}
*Second highest development priority:* {{field:f1712a29-553b-47e5-b623-62b60db548ac}}
*Third highest development priority:* {{field:d55341fe-4baf-43e1-8d13-feb4c5d91da2}}

Is this correct?
","What features, not on the previous list, would significantly enhance your productivity when using Cantera?",I’m not aware of the Steering Committee,Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,Adding/removing members from the Scientific Advisory Board,Have you ever made a tax-deductible donation to Cantera through NumFOCUS?,"When you need help with Cantera, what is your_ first_ step to get support?",Cantera website ([https://cantera.org/](https://cantera.org/)),"Built-in Python or IPython documentation (help(function), function?)",Search previous user group posts,Create a new user group post,Browse the source code,Online documentation,Where is your primary residence? Where do you live?,What is your primary spoken or written language?,What is your employment status?,Other,Company/organization name (optional),Why do you use Cantera in your job or school?,What question do you wish we had asked you? How would you have answered that question?,Start Date (UTC),Submit Date (UTC),Network ID
r2w0retelulfeavbz8nkr2w04hf2b6nx,macOS,,,,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,,,,,,Multiple flow domains,,Python interface,,Reactor networks - robustness,,Examples and tutorials,,1,Make Cantera backend in Python instead of C++,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Full-time/Part-time employed by a university or lab,,ORNL,reaction kinetics,Better support on Stack Overflow instead of the crappy Google Group,3/11/20 23:38,3/11/20 23:44,43f9b59112
twg8u7g64abr2oatwg8ucv1b7s986kai,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,Anaconda,,,,Ubuntu Personal Package Archive (PPA),,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,,Moving walls/Changing reactor volume,,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,,,,,,,Examples and tutorials,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1D solver - robustness,,1,,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS","Built-in Python or IPython documentation (help(function), function?)",I use this sometimes,I use this often,I use this sometimes,I use this sometimes,I use this sometimes,I use this sometimes,North America,English,Full-time/Part-time employed by a university or lab,,"California State University, Los Angeles",Combustion chemistry simulations for research.,,3/11/20 17:47,3/11/20 17:54,e6cd65eac4
tka9zbm6vm95yi8htka9z4pw4f40lsi4,,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,C++,,,,,,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Rarely,2.7,,,Often,C++14,"Indeed, I use C++ interface because my main code that calls Cantera is written in C++.",,,Visual StudioGnu C/C++ Compilers (gcc/g++),,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,Fixed-stoichiometry,,,,,,,,,,,,Pure-fluid,,,,,,Constant volume reactors,,Mass flow controllers,Valves,,,,,Networks with multiple reactors,,Solve time-dependent problems,,,,,,,,,None of the above,Reactor networks - robustness,,"New thermodynamics, kinetics, or transport models",,Equilibrium solvers - robustness,,1,N/A,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Examples installed with Cantera,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I use this sometimes,I use this sometimes,I use this sometimes,Europe,Turkish,Full-time/Part-time employed by a university or lab,,Middle East Technical University,"It is flexible, and free",N/A,3/11/20 17:31,3/11/20 17:46,5e4b2c2770
1ye8f3owozejbsniw71ye8fh0bss35gw,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,I don’t update,,Anaconda,Build from source (via GitHub),"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,Visual StudioGnu C/C++ Compilers (gcc/g++),,,Gnu Fortran (gfortran),,,,I'm not sure,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,Fixed-stoichiometry,,,,,,,,,,,,,,,,,None of the above,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,Pressure controllers,,,Surface chemistry,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,,,,,Surface chemistry,,,Examples and tutorials,,Feature and model documentation,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1,"For me the absolute most important thing is being able to update the rate constant parameters for surface reactions with the modify_reaction command. Currently, we cannot do that which means we cannot use arbitrary custom expressions. I need to reload the entire model as well as use non-built in solvers right now.",I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I have not heard of this,I use this often,I use this sometimes,I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a university or lab,,Oak Ridge National Laboratory,"We need reactor modeling software, this is open source with a python interface, and I believe it has strong potential for longterm viability.","You asked the question I wanted most, which was what feature was important but not yet asked about.  Maybe seek more ways to collaborate with other code projects and encourage more examples to be added to website (though I'm aware that the examples is at least on the radar since I do follow some of the github issues).  Ah, you should have asked about github issues and about github contributing!",3/11/20 17:25,3/11/20 17:35,3b83e5f64d
wm9wegazlc9lec5q2rp9wm9weqhfph4m,,,,Windows 10,,,,Python,,,,,,,Anaconda,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,liquid-water-IAPWS95,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,,Surface chemistry,Networks with multiple reactors,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,,Counterflow diffusion flame,Counterflow premixed flame,,,,"New reactor or flow types (for example, transient 1-D or plug flow)",,Reactor networks - robustness,,Reactor networks - performance,,1,multiphase reactors,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Website examples (https://cantera.org/examples/index.html),I use this often,I use this often,I use this often,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,North America,English,Full-time/Part-time employed by a company,,siemens,I am a gas turbine combustion engineer,Would you encourage collaboration with CoolProp.org to extend Cantera capability in terms of thermodynamic multiphase calculation? Definitely worth investigating.,3/11/20 16:47,3/11/20 17:02,a16ddb2ddb
qec8q0jidspzgbqec8y2l54mpbhndmv9,macOS,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,,,,,,,Build from source (via GitHub),,"macOS installer (.pkg file), downloaded from GitHub",Ubuntu Personal Package Archive (PPA),,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,Gnu Fortran (gfortran),,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,Yes,,,,,,,,,,,,Redlich-Kwong,Pure-fluid,,,,,None of the above,,Constant pressure reactors,,,,,,,,,,Solve steady-state problems,,Premixed free flame,,Counterflow diffusion flame,,,,,1D solver - robustness,,"New thermodynamics, kinetics, or transport models",,Python interface,,1,"I really would love to use the 1D capability to generate flamelet solutions for premixed and counterflow diffusion cases. Ideally with the ability to use the Peng Robinson EOS. One of my sticking points is my lack of knowledge on how to write out data from the solutions. Things like metadata about the solution (strain rates, BCs), as well as things like all the species mass fractions and species production rates.",,,,Spending project funds,Delegating / managing project administrative responsibilities and communication,,"Yes, a one-time donation",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I use this often,I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a company,,"Streamline Numerics, Inc.",I have used it for thermodynamic evaluation. And I would love to be able to stop using FlameMaster for flamelet solution generation and move to Cantera.,"I think a similar question was asked, but I will just repeat that  asking a user: "" I would use Cantera more, if only..."" might yield useful insight.

And my answer is: if only it had the Peng Robinson EOS and a helpful case outlining how I can use the Python interface to extract quantities such as species production rates, enthalpies of the mixture, etc. for use in composing a flamelet data file to be used in FGM flamelet table generation.",3/11/20 15:55,3/11/20 16:29,34819462f0
dqpb6tpqd8wyk4t8vdqpb6b4bmrxbw3s,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,,C++,,,,,Anaconda,Build from source (via GitHub),"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.7,,,Sometimes,C++20,none,,,Visual StudioGnu C/C++ Compilers (gcc/g++),Visual Studio,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,,,,,,,,,,,,,,,,,,None of the above,Constant volume reactors,,Mass flow controllers,Valves,,Wall heat transfer,,Surface chemistry,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,,,,,,,None of the above,Reactor networks - robustness,,"New reactor or flow types (for example, transient 1-D or plug flow)",,"New thermodynamics, kinetics, or transport models",,1,GUI for tabulating equilibrium,,Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,Delegating / managing project administrative responsibilities and communication,Adding/removing members from the Scientific Advisory Board,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I use this often,Europe,Portuguese,Full-time/Part-time employed by a company,,ArcelorMittal,It is more user friendly and customizable than alternatives,"What sort of simulations do you perform with Cantera? I perform furnace atmosphere mass balance, implementation of gas phase interface for computing boundary conditions of custom solid state transport software, I fit polynomials for transport data with OpenFOAM given the incompatibility of Lennard-Jones parameters.",3/11/20 16:03,3/11/20 16:26,48de19ca06
27ca0l3byvqo1o1u6ps627cmdxl0b8b3,,,,Windows 10,"Debian or its derivatives (Ubuntu, Mint, etc.)","Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,,,,,,Anaconda,Build from source (via GitHub),,,,,Development version / master branch,Often,3.6,,,,,,,,Visual StudioGnu C/C++ Compilers (gcc/g++),Visual Studio,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,Valves,Pressure controllers,Wall heat transfer,Moving walls/Changing reactor volume,,,,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,,,,,Reactor networks - performance,,1D solver - performance,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1,Preconditioned sparse solvers (which is implicit to my previous selections),,Modifications of the governance procedures,Adding/removing steering committee members,,,,"No, but I am aware of NumFOCUS",Browse the source code,I use this often,I use this often,I use this often,I use this often,I use this often,I use this often,North America,German,Full-time/Part-time employed by a university or lab,,LSU,I work in combustion,Github,3/11/20 15:46,3/11/20 15:54,5a65709534
